iter	Passed	Remaining
401	15485	3775
402	15524	3736
403	15563	3698
404	15601	3659
405	15640	3621
406	15679	3582
407	15718	3544
408	15757	3505
409	15796	3467
410	15835	3429
411	15873	3390
412	15911	3351
413	15950	3313
414	15988	3274
415	16026	3236
416	16064	3197
417	16103	3159
418	16141	3120
419	16180	3081
420	16218	3043
421	16257	3004
422	16295	2966
423	16334	2927
424	16373	2889
425	16412	2850
426	16450	2812
427	16490	2774
428	16528	2735
429	16567	2697
430	16605	2658
431	16644	2619
432	16682	2581
433	16720	2542
434	16758	2504
435	16797	2465
436	16835	2427
437	16874	2388
438	16912	2349
439	16950	2311
440	16989	2272
441	17027	2234
442	17064	2195
443	17103	2157
444	17142	2118
445	17181	2080
446	17220	2041
447	17258	2003
448	17297	1964
449	17336	1926
450	17373	1887
451	17412	1849
452	17451	1810
453	17489	1772
454	17526	1733
455	17565	1694
456	17604	1656
457	17643	1617
458	17680	1579
459	17718	1540
460	17757	1502
461	17795	1463
462	17834	1425
463	17873	1386
464	17912	1348
465	17950	1309
466	17988	1271
467	18027	1232
468	18066	1194
469	18103	1155
470	18141	1117
471	18179	1078
472	18217	1039
473	18255	1001
474	18294	962
475	18331	924
476	18369	885
477	18407	847
478	18446	808
479	18485	770
480	18523	731
481	18562	693
482	18600	654
483	18638	616
484	18677	577
485	18715	539
486	18753	500
487	18791	462
488	18830	423
489	18869	385
490	18907	346
491	18945	308
492	18983	269
493	19021	231
494	19060	192
495	19099	154
496	19137	115
497	19176	77
498	19215	38
499	19253	0
