iter	Logloss
0	0.6189075333
1	0.5283528636
2	0.4611916331
3	0.4089230258
4	0.3581935976
5	0.303287562
6	0.2768468335
7	0.2374860549
8	0.2151057894
9	0.1924947596
10	0.1678227977
11	0.1549613822
12	0.1389626182
13	0.1250684583
14	0.1149386378
15	0.1043886871
16	0.09696091273
17	0.08965315632
18	0.08339508881
19	0.07765435723
20	0.07303160507
21	0.06589233847
22	0.06121671114
23	0.05706672122
24	0.05225678764
25	0.04900002105
26	0.04562409522
27	0.04191056237
28	0.03958310878
29	0.03690946079
30	0.03462134797
31	0.03290679659
32	0.03130156677
33	0.02973573541
34	0.02826086357
35	0.02679311422
36	0.025264085
37	0.02375931166
38	0.02262519948
39	0.02163363019
40	0.02091204425
41	0.02008394748
42	0.01905700952
43	0.01822457429
44	0.01723980261
45	0.01636890604
46	0.01595838452
47	0.01545983398
48	0.01475001559
49	0.01429943035
50	0.01389205549
51	0.01326017808
52	0.01263862009
53	0.01217732576
54	0.01189776299
55	0.01161813205
56	0.01139070395
57	0.01107647047
58	0.01074411046
59	0.01052252853
60	0.01016478295
61	0.009802496676
62	0.009551199132
63	0.009340777348
64	0.009105053029
65	0.008892572207
66	0.008644222928
67	0.008395891761
68	0.008155772185
69	0.008042130634
70	0.007883598926
71	0.007708192951
72	0.007588089495
73	0.007425190041
74	0.007255528566
75	0.007083785752
76	0.006956221647
77	0.006731009603
78	0.006620343704
79	0.006370327808
80	0.00627273531
81	0.006128500761
82	0.006008522125
83	0.005932064188
84	0.005823390748
85	0.005732759803
86	0.005623153687
87	0.005459385931
88	0.00527438033
89	0.005154091912
90	0.005103311242
91	0.005038792443
92	0.004930044568
93	0.004879250385
94	0.004825437726
95	0.004734790651
96	0.004635457685
97	0.004565617188
98	0.004483833987
99	0.004393899549
100	0.004348891664
101	0.004292067649
102	0.004217969772
103	0.004127651931
104	0.004081219546
105	0.00401616971
106	0.003942973833
107	0.003888773295
108	0.00380771279
109	0.003751575097
110	0.003722429113
111	0.003653079619
112	0.003628030139
113	0.003582251015
114	0.003535357835
115	0.003509851274
116	0.003460187786
117	0.003430895501
118	0.003399211016
119	0.003309279638
120	0.003254220228
121	0.003217642566
122	0.003179057323
123	0.003144397744
124	0.003107894657
125	0.003064929106
126	0.00300837947
127	0.002977859149
128	0.002918460004
129	0.002885245154
130	0.002861074809
131	0.002826708747
132	0.002804534795
133	0.00276282006
134	0.002739945705
135	0.002710813124
136	0.002679205547
137	0.002649773899
138	0.002620590373
139	0.002577424111
140	0.002548552648
141	0.002515718793
142	0.002491037009
143	0.002466460106
144	0.00244487591
145	0.002412361095
146	0.002392302678
147	0.002371380119
148	0.002343153075
149	0.002316179157
150	0.002295919119
151	0.002272568185
152	0.002251702901
153	0.002231580761
154	0.002213534182
155	0.002191553914
156	0.002160969434
157	0.002138869451
158	0.002121492561
159	0.00210153199
