x,year,month,tw_use_m01,tw_use_m02,tw_use_m03,tw_use_m04,tw_use_m05,tw_use_m06,tw_use_m07,tw_use_m08,tw_use_m09,tw_use_m10,tw_use_m11,tw_use_m12,,label
커다란 자갈돌은 짱돌,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
어쩔티비,2021,8,20494,21363,30523,18691,25285,18198,14245,9248,10682,12604,273,8501,,1
정상수,2021,5,33371,15355,15409,13401,9075,15493,10144,7737,4716,7785,7331,4999,,1
몰?루,2021,12,1239,3109,6278,4289,15378,19894,14763,19119,16529,24310,13067,19535,,1
북방코끓리바다표범,2021,12,60,5,0,10,9,0,9,5,0,4,3,4,,0
여자가⋯ 말대꾸⁈,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
요나요나 댄스,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
어느새부터 힙합은 안 멋져,2021,10,4126,8345,3633,2391,1026,298,140,100,90,38,36,23,,0
힘숨찐,2021,6,6702,9833,13723,10415,11128,8314,7852,8899,8306,12149,7931,7406,,1
사실이 아닙니다!,2021,9,39,48,31,24,38,23,22,17,14,21,13,22,,0
예쁘잖아,2021,7,182,255,289,89,52,20,9,11,11,0,0,0,,0
너도 오니가 되어라,2021,9,35107,26064,42341,69800,50443,37897,34938,34884,46551,60414,48089,37674,,1
우마이,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
코리아 화이팅!,2021,11,21,21,22,26,25,38,47,36,31,59,19,29,,0
오니기리 댄스,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
00이 웬말인가?,2021,4,674,761,221,156,107,34,84,31,66,100,24,91,,0
물소,2021,2,3684,11845,6505,5049,2327,1564,203,457,201,198,80,74,,0
가오가이,2021,4,1271,1073,2163,1270,1108,761,461,131,177,123,54,137,,0
"어, 나가",2021,4,1143,3029,1188,1365,812,406,162,445,73,8,16,3,,0
"어, 나락",2021,12,2544,2364,3953,2329,1034,466,780,176,206,142,46,30,,0
"아니, 잘 몰라요",2021,8,37,14,15,8,4,3,3,0,0,0,2,4,,0
저희가 많이 보죠,2021,10,10585,7068,4808,2321,1222,498,347,275,172,165,107,29,,0
그만큼 신나시는 거지,2021,11,2845,2611,4800,3391,3834,2613,2438,2380,2032,196,257,257,,1
가오리춤,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
김남홍이,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
메보좌 꼬북좌 왕눈좌 단발좌,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
밀보드,2021,4,611,748,206,304,139,53,120,31,117,61,115,38,,0
역주행,2021,2,235,260,364,488,952,1567,2606,2380,1710,2434,128,2546,,1
허수아비춤,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
빙빙 돌아가는 회전목마처럼,2021,12,1457,2216,1334,1325,373,363,287,186,225,87,55,17,,0
지금 제작진 표정 봐 미쳐,2021,11,46,43,160,25,45,46,43,51,55,28,36,46,,0
너어어어~,2021,10,47,48,44,45,23,44,33,33,48,40,61,60,,0
적시자~,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
슉 슈슉,2021,10,10062,11972,9276,8213,5990,5023,4255,5626,4632,3470,3874,4440,,1
믓찌다 믓찌다 우리언니,2021,6,38,20,21,22,24,29,91,29,32,30,38,24,,0
"잘봐, 언니들 싸움이다.",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Hey~,2021,9,41,36,30,33,34,28,28,31,23,21,69,29,,0
우리가 제일 잘했고 제일 멋있었어 그럼 된거야,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
배신하면 죽는다,2021,1,18,12,11,38,67,14,14,16,15,9,9,12,,0
싫은데~?,2021,7,10,11,20,118,16,11,12,13,10,11,10,17,,0
명사수,2021,3,319,327,564,633,655,1258,143,1499,1243,1409,1242,184,,1
반말 하지마라,2021,9,167,320,448,802,1388,1422,1774,2297,1872,3063,2567,221,,1
보잡째,2021,11,211,811,609,353,161,94,135,52,56,24,13,95,,0
가챠걸,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
준비 됐나요? 자~ 그럼 부를게요,2021,6,0,0,0,0,0,0,0,0,0,0,0,0,,0
쉬는 시간에 공부하냐? 모범생인 척 하지마!,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"제껴라, 광야로 걸어가",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
간바레 센빠이,2021,8,67,35,22,19,11,0,4,4,2,0,5,8,,0
검커렁,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
근하하하,2021,9,1741,1259,1519,1047,2087,2055,187,1726,121,262,1804,1736,,1
깻잎 논쟁,2021,10,260,999,441,471,310,114,213,134,59,57,63,96,,0
난 몰랐어 내 맘이 이리 다채로운지,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
내 루돌프,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
내가 없어져볼게,2021,11,149,115,106,186,71,100,103,211,192,239,206,122,,0
너 아직도 그 게임 하니?,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
너는나를존중해야한다,2021,5,41,26,39,18,20,12,7,3,4,0,15,8,,0
"당근을 흔들어주세요, 당근을 그려주세요",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
대유쾌 마운틴,2021,12,71,42,17,0,12,7,3,5,6,2,0,10,,0
딜레이 없이 1트만에 성공,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
딱 1분만 집중해서 들어봐,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
런,2021,12,14362,19779,33756,27935,24992,11019,12951,8521,11112,10134,10825,11334,,1
롱노즈,2021,1,36,49,36,16,12,0,0,13,0,0,0,3,,0
마기꾼,2021,3,15845,7861,2620,1136,374,208,143,63,28,10,40,41,,0
말씀 중에 죄송합니다,2021,3,1102,3600,1262,1216,1211,466,355,296,127,161,195,98,,0
메스가키,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
몽미,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
무야홍,2021,1,220,126,161,177,158,309,125,197,312,155,134,170,,0
무지성,2021,1,32058,28929,88448,46843,20227,26984,26835,17919,15324,18114,16272,14079,,1
문크 예거,2021,11,288,333,376,698,948,1378,2158,2311,3239,2430,1763,2112,,1
미대 떨어지고 자살한 사람,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
드가자,2021,4,53801,27259,32773,25991,13591,19246,9871,16227,22424,11540,14811,19239,,1
보잉보잉,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"봐, 너랑 닮았지?",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
00은 사람을 찢어,2021,3,6610,5111,6318,3375,2436,1610,1728,1489,1399,1545,1494,1131,,1
소리 지르지 말고 박수쳐,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
수상한 정도로 00한 00,2021,4,324,286,78,83,28,20,24,37,65,25,6,78,,0
4컷 짤방,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
악으로 깡으로 버텨라,2021,8,53,48,44,141,68,42,72,84,59,48,64,48,,0
어드밴스드 듀라한,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
언웰컴 스쿨,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
에어맨이 쓰러지지 않아,2021,12,8015,4640,2126,1069,689,189,88,55,24,27,100,30,,0
울라리,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
이 아이가 배가 부르다는 느낌을 알까요?,2021,11,253,71,53,32,18,20,14,11,6,0,4,3,,0
이대로 괜찮은가,2021,11,284,896,420,225,247,183,119,83,101,35,30,57,,0
제가... 질문 하나를 드려도 되겠습니까?,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
좋은 질문? 지적? 암튼 감사합니다.,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
취직 잘되는 사회를 만들든가,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
코이츠,2021,6,7879,14707,34069,9432,6544,3841,127,54,280,217,116,74,,0
쿠소쿠무시,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Factos,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
킹받네,2021,7,28476,18946,25899,18788,17346,20464,26542,24213,26287,24802,13173,15258,,1
킹받는다,2021,4,26893,25661,39721,37370,28818,29323,28871,23277,33559,40174,34816,33652,,1
한국인이 좋아하는 속도,2021,12,370,268,136,129,69,38,155,124,48,86,99,55,,0
화성 갈끄니까,2021,8,6431,8396,16583,13408,7107,2669,396,265,70,112,126,99,,0
64 bits 32 bits 16 bits 8 bits 4 bits 2 bits 1 bit,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
아임뚜렛,2020,11,503,1341,1072,1798,503,259,283,209,66,51,46,36,,0
그랜절,2020,4,8246,17284,12816,13847,7718,11421,7557,257,10649,5716,7140,6212,,1
지이잉,2020,4,17285,28535,49079,28488,34658,18888,24686,27275,38166,41195,31302,29373,,1
호박고구마,2020,7,3406,3993,3455,2252,1347,1174,46,116,88,90,56,71,,0
할카스,2020,6,3895,2214,932,702,362,173,73,45,10,17,53,47,,0
종로로 갈까요,2020,5,261,223,1144,816,397,267,283,124,275,13,0,0,,0
만희물,2020,2,19,18,26,22,27,41,26,28,48,45,31,30,,0
ㄷㄷㄷㅈ,2020,3,1424,2165,946,750,1818,2123,2788,4208,3309,2899,2248,3821,,1
나비보벳따우,2020,2,47569,38219,42336,47304,49866,60084,47815,48190,39868,41318,53289,40016,,1
미안하다 이거 보여주려고 어그로끌었다,2020,1,17494,28117,40654,30037,13331,14974,21109,28129,15618,10899,14557,6082,,1
관짝춤,2020,2,103,122,100,73,70,76,178,114,161,155,137,94,,0
나는 개인이오,2020,12,889,532,1204,740,428,240,160,146,107,161,66,58,,0
캬루,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
깡,2020,3,601,973,1390,2582,4189,4158,3974,4298,4784,6835,7436,6882,,1
펀쿨섹좌,2020,12,682,413,215,123,88,51,19,12,15,7,5,6,,0
엄준식,2020,9,20555,43746,32237,28200,23094,20004,13111,11251,10037,10786,6243,7099,,1
00은 사드세요 제발,2020,7,849,1158,1031,1330,1487,1081,1373,1911,2255,1886,2275,1396,,1
불 좀 꺼줄래?,2020,1,46006,42511,50687,48429,43646,35850,36718,47024,51531,34589,31134,160,,1
야 꿀벌,2020,9,6724,4341,11968,8349,6219,6087,4138,3268,3294,3132,2680,147,,1
군침이 싹 도노,2020,1,624,1819,1654,4227,6841,8722,11158,9668,12543,11269,16101,14603,,1
가짜사나이,2020,1,1234,883,1235,1938,4079,4884,10975,8571,7662,7674,10898,7140,,1
00를 알려주겠다,2020,5,23197,27764,28117,20806,14006,18151,19503,20547,21745,14761,18080,21223,,1
뒷광고,2020,10,10168,13212,7631,5202,4061,9447,10243,23279,13770,11176,6803,3421,,1
테스형!,2020,5,3908,8038,9073,6463,3289,1129,232,335,141,120,30,27,,0
돌리랑 도트가 제일 좋아,2020,9,21,43,24,53,46,68,52,44,65,53,160,64,,0
사실을 오래전부터 당신 같은 00를 기다려 왔다우,2020,7,179,97,58,24,8,0,9,10,10,0,3,2,,0
제주도 찐 사투리,2020,11,96,61,80,21,28,13,6,0,0,8,0,6,,0
다메다메,2020,10,26592,32431,77294,54842,31692,27841,24888,14068,12966,12187,14120,8762,,1
훈발놈,2020,4,4907,10568,8647,2769,2004,1364,628,198,158,21,18,10,,0
세뇌교육,2020,5,122,116,118,173,139,98,79,78,153,67,84,114,,0
뭉탱이,2020,8,487,613,1718,3606,2031,705,929,664,1112,2459,1035,775,,1
난 너가 줏대있게 인생 살았으면 좋겠어,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
치즈분수,2020,2,420,246,704,288,129,81,64,114,41,132,189,49,,0
한국인이 좋아하는 속도,2020,6,957,1559,2685,2574,840,649,574,93,62,127,122,69,,0
하츠네 형돈,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Pop Cat,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
당연히 말이 되죠,2020,1,62,57,102,110,94,108,150,64,88,78,67,242,,0
버스 안에서,2020,8,75,38,26,12,18,9,14,0,0,5,9,3,,0
너 인성에 문제 있어?,2020,6,2472,2352,4785,3535,2696,1498,2261,1384,1219,1220,239,138,,1
반으로 죽일 거야.,2020,11,14322,5294,2609,951,336,136,101,26,35,48,13,22,,0
니팀버려,2020,8,1689,2237,4516,7343,12908,16234,15050,18823,10004,8664,20435,23014,,1
개인주의,2020,3,15630,13779,8451,6832,5693,3664,2874,3951,3870,2293,1834,1712,,1
축제가 아니라 장례식입니다,2020,2,118,47,22,22,5,2,4,8,9,0,10,0,,0
나비 효과,2020,5,1037,1304,1873,1271,448,246,187,287,171,60,173,110,,0
화려한 조명이 나를 감싸네,2020,11,1431,690,2636,1746,882,336,170,136,124,163,81,25,,0
1일 00깡,2020,3,1600,3293,4771,10344,8738,10492,9754,10493,18392,17807,19713,19245,,1
정치를 좀 대국적으로 하십시오,2020,1,1843,838,3727,2162,677,634,289,228,250,10,14,0,,0
임자 하고 싶은 대로 해,2020,3,305,50,69,21,19,20,6,0,0,10,0,0,,0
내돈내산,2020,10,1400,1654,1893,2562,3750,6987,5116,5505,7043,6206,7832,6202,,1
앞광고,2020,5,79,179,227,144,62,13,0,10,11,14,5,13,,0
진짜 세계관 최강자들의 00이다.,2020,3,5727,10417,3982,3573,2166,1175,899,258,185,30,5,0,,0
00 수준 실화냐?,2020,6,34746,24178,40880,25309,18578,20497,21973,17474,27052,15482,15614,20763,,1
가슴이 웅장해진다,2020,8,14894,21894,20355,11043,6160,4230,7763,13278,31550,10897,7114,6569,,1
살천지,2020,9,30,122,20,26,29,42,60,48,32,218,25,18,,0
역병앓이,2020,10,125,67,16,16,6,0,3,8,6,0,12,0,,0
제사장이 코앞,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
나 이러면 진짜 섭섭해,2020,7,388,187,127,63,27,16,16,0,10,8,0,0,,0
나 진짜 한마디만 할게요,2020,9,110,254,69,32,34,15,10,9,9,6,0,0,,0
Yesss,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
찜 쪄 먹기,2020,6,20,24,24,11,20,17,12,13,17,17,12,15,,0
아잇! 어! 푸르르르르~,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
넣을게,2020,3,10229,7591,6706,4335,2854,1650,1595,1789,1438,274,1188,230,,1
코스크,2020,7,9,11,83,12,14,21,18,19,13,12,8,9,,0
턱스크,2020,1,234,325,294,295,93,86,36,30,26,12,20,0,,0
확찐자,2020,5,459,358,858,410,330,151,177,156,47,41,99,46,,0
흥캬삐,2020,5,64,115,19,20,10,20,0,0,0,8,4,0,,0
죄송합니다,2020,2,4206,6903,12288,24360,16020,10333,8041,15269,11812,6043,4928,5207,,1
케경호,2020,1,50,133,69,16,8,9,9,11,14,0,0,7,,0
"벌써 떨리는군^^, 감히 나 주단태를!",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
강조되고 반복되는 소리는 강아지를 불안하게 해요,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
겜안분,2020,8,117,142,150,238,215,181,233,205,107,231,214,153,,0
관상드립,2020,12,69,56,82,43,30,0,9,0,15,9,0,0,,0
국룰,2020,7,23190,24788,26034,16146,15924,7683,10953,10581,9756,6847,6496,6112,,1
그 긴거,2020,10,1124,1273,1815,2750,2395,1129,1530,3632,2809,1304,223,259,,1
그게 나야~ 둠빠둠빠 두비두바,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
그댄 운명을 믿소?,2020,10,43,16,22,25,31,43,28,105,28,155,19,20,,0
긁다,2020,6,607,2057,817,846,237,158,150,38,122,32,57,116,,0
금융치료,2020,7,7289,13817,9786,6822,5332,3344,2883,2124,1181,1332,1198,263,,1
"나가지 말라면 나가지 마, 밥 먹지 마, 모이지 마",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
너희들 나 못 이겨,2020,3,29,35,33,32,52,115,38,52,39,49,63,68,,0
느슨해진 한국힙합에 긴장감을 주는 것 같다,2020,8,3161,2357,1327,640,279,146,220,37,17,4,0,0,,0
능지,2020,9,1365,1154,1563,2020,4186,4557,6634,6289,7072,5205,4411,6612,,1
닌자 몰살 엔딩,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
많관부,2020,8,20580,31671,14957,16544,13343,18716,35650,53623,24080,12505,15797,124,,1
맑은 눈의 광인,2020,10,737,1274,703,296,214,87,65,72,114,131,140,92,,0
머선 129,2020,10,3933,10281,8289,4283,2669,1534,31,115,153,42,6,11,,0
머선 일이고,2020,3,1377,6295,3277,1335,755,348,164,96,45,81,63,55,,0
몽미,2020,6,202,152,204,290,115,72,43,39,21,10,21,5,,0
바선생,2020,12,1740,5329,4374,2952,1867,2243,2199,1162,1424,914,149,705,,1
범 내려온다,2020,1,164,140,209,126,143,94,89,60,113,146,130,137,,0
사랑에 빠진 게 죄는 아니잖아!,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
사실은 오래전부터 당신 같은 00를 기다려 왔다우,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
사이버 렉카,2020,12,1774,2929,7404,4669,1887,641,155,96,45,58,71,19,,0
사회적 거리두기,2020,2,273,244,199,202,142,117,113,114,176,134,190,203,,0
소설,2020,5,3179,1615,3839,2018,794,396,128,53,50,24,0,20,,0
심기체론,2020,5,43,66,53,35,7,10,0,3,2,9,10,9,,0
쓰다듬기 밈,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
00이 복사가 된다고,2020,9,444,330,373,586,672,879,976,1414,1370,1299,1040,940,,1
아무 노래나 일단 틀어,2020,5,221,331,571,220,287,75,140,152,132,52,34,114,,0
아주 온갖 생쇼가 다 벌어졌었구나,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
알잘딱깔센,2020,9,1698,3049,7733,12617,5299,4669,5005,3393,5060,12644,5221,5257,,1
야스,2020,2,24046,22285,18264,13933,10868,19449,15294,22301,12809,11595,11412,14557,,1
우린 이것을 얼음이라 부르기로 약속했어요,2020,0,0,0,67,13,4,0,9,50,0,7,8,4,,0
워싱 칭따오,2020,3,3901,6697,11979,6784,6640,5431,260,112,127,159,122,127,,0
이건 못 참지,2020,8,5092,15286,4836,4549,5328,6071,12657,4663,1797,1814,1999,1715,,1
이제는 더 이상 물러날 곳이 없다,2020,1,9253,4993,18036,12472,7906,5553,300,284,107,292,219,152,,0
인디홈,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
임포스터,2020,3,4070,25293,8382,2897,1671,875,302,147,128,41,35,33,,0
잼민이,2020,3,34400,35451,58596,45473,35588,16235,36880,15955,16260,13342,16436,15105,,1
정신나갈것같애,2020,11,416,181,100,66,34,21,19,9,0,9,4,3,,0
종로로 갈까요 명동으로 갈까요,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
치료가 필요할 정도로 심각한 '도박 중독증' 입니다,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
치키치키차카차카초코초코초,2020,1,41,134,54,25,7,6,9,10,7,0,0,3,,0
큰거온다,2020,3,60852,36081,25410,24075,19340,19065,19006,14781,19972,9837,13068,11516,,1
테스형도 모른다고 하네요,2020,1,48,27,13,15,0,4,3,5,0,8,12,6,,0
텐션,2020,6,3376,9194,5594,2690,2778,4134,3904,6608,16003,5572,3782,4480,,1
한국인들은 베트남이 발전하는 것을 두려워합니까?,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
해줘,2020,10,1283,1607,2073,2678,3074,8150,9822,9916,18437,11038,10172,13256,,1
훠훠훠,2020,11,3086,1025,452,274,135,69,52,16,28,33,5,0,,0
ㅋㅋ루삥뽕,2020,6,6245,7695,5274,2364,2810,1631,43,180,71,30,32,16,,0
hoxy,2020,2,496,333,478,630,640,841,129,948,785,861,209,784,,1
K-00,2020,5,22783,18841,51149,79681,41510,27124,16771,70291,73417,40696,25540,27360,,1
00에 진심인 편,2020,3,11217,11722,8620,10642,11801,9465,9615,14205,10699,11352,8956,10657,,1
point 드립,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
00하하하,2020,5,957,2838,2601,1118,583,471,776,76,70,8,0,3,,0
치피치피 차파차파,2024,3,43,24,58,40,31,12,18,10,0,5,8,6,,0
꽁꽁 얼어붙은 한강 위로 고양이가 걸어다닙니다,2024,8,90,162,133,161,131,140,134,66,81,82,120,143,,0
탕후루는 차갑다,2024,6,6374,3220,2791,1573,1608,1607,1888,1298,982,232,892,992,,1
국가권력급,2024,5,1565,1591,2631,2576,3990,4789,5812,7075,4831,5659,4456,7051,,1
밥똥던,2024,10,73,141,82,206,131,135,138,165,180,117,90,149,,0
한잔해,2024,5,1180,1497,1348,2647,2978,5521,4741,8662,10229,7448,10064,7471,,1
캣냅,2024,9,2255,1947,4442,1252,1159,407,824,129,101,9,0,0,,0
브링방방,2024,8,171,199,309,72,25,21,13,5,9,11,10,5,,0
00은 계획대로 되지 않아,2024,10,1682,989,1724,715,788,745,244,161,249,180,161,132,,0
밤양갱,2024,9,20066,40256,26259,33442,23995,13287,12298,7208,5317,8899,5692,5985,,1
원영적 사고,2024,7,368,466,759,438,1080,1013,143,1335,1555,200,177,1303,,1
야레야레 못말리는 아가씨,2024,4,41,66,121,31,38,22,11,2,12,12,0,3,,0
포켓몬 댄스,2024,9,61,56,34,11,5,0,15,6,13,5,6,0,,0
꽁꽁 얼어붙은 한강 위로,2024,5,745,294,1383,342,272,246,226,141,72,73,160,125,,0
난 대학시절 묵찌빠를 전공했단 사실,2024,1,392,697,388,388,253,156,246,80,98,63,24,53,,0
어디출신?,2024,12,801,2159,1234,579,373,205,201,360,56,0,4,0,,0
미시시피,2024,11,120,90,53,23,10,11,9,9,9,0,6,12,,0
어라운드 더 월드,2024,11,53,31,28,7,19,9,3,0,9,13,0,0,,0
좌뇌 우뇌 전두엽,2024,10,34,22,35,65,40,26,25,32,26,12,12,35,,0
맞다이로 들어와,2024,8,106,40,21,13,0,10,4,6,15,6,0,9,,0
럭키비키,2024,1,4461,5614,9593,7015,4343,6484,11194,7509,4295,2227,4073,2596,,1
평화누리특별자치도,2024,1,26,14,9,3,9,0,0,9,0,0,9,3,,0
직구 금지,2024,7,774,865,570,510,215,149,81,66,122,0,0,0,,0
점심을 든든히 먹어두어라 저녁은 지옥에서 먹을테니,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
마라탕후루,2024,1,399,402,460,388,1278,958,1414,1312,1711,2103,1794,1417,,1
정상화,2024,9,7820,7172,11462,8674,10373,8825,7269,233,9350,9399,10631,8512,,1
팩트는 00라는 거임,2024,4,7753,3167,15612,6146,3646,1178,124,144,45,5,4,0,,0
수수수수퍼노바,2024,11,3593,24258,11235,3822,1814,786,127,41,82,84,28,27,,0
츠긍슴승 승르흐르르,2024,10,99,83,57,57,68,198,121,138,105,118,198,90,,0
시카노코노코노코코시탄탄,2024,6,6,7,7,6,5,0,5,5,9,10,0,12,,0
티라미숙해,2024,5,427,719,447,726,813,900,904,220,825,1128,151,229,,1
티라미수 케익,2024,6,115,165,269,417,520,726,1138,226,873,167,1151,948,,1
하루만 기다리면 00가 나와요!,2024,4,146,355,228,147,230,159,160,126,98,105,137,208,,0
뉴진스럽다,2024,3,138,129,315,159,90,32,19,13,8,8,7,9,,0
폴라레티,2024,8,176,57,76,14,19,10,3,0,8,0,8,0,,0
신창섭,2024,3,11590,9205,16931,8496,4312,1131,217,59,173,64,66,9,,0
네 기꺼이,2024,4,6857,4265,2657,1475,783,807,447,554,115,32,9,0,,0
외모 췤!,2024,11,2871,2177,5055,2483,1360,701,618,120,67,0,7,0,,0
쿵쿵따,2024,6,195,141,85,55,24,12,66,41,60,69,102,0,,0
미룬이,2024,6,2467,3266,6295,2100,1702,1085,860,116,58,204,130,144,,0
조이는 보이,2024,6,688,1820,1238,498,310,383,31,209,145,126,75,111,,0
창팝,2024,4,76,59,185,117,28,17,6,17,5,8,0,8,,0
다 해줬잖아,2024,7,9974,14012,6592,3607,1126,611,225,158,115,21,22,23,,0
바로 리부트 정상화,2024,8,20,23,25,36,31,35,41,33,30,59,20,20,,0
이해가쏙쏙되잖아리슝좍아,2024,7,72,75,29,23,16,7,0,9,11,0,9,9,,0
유빈양,2024,6,128,157,131,47,17,22,18,10,5,5,8,7,,0
퍽 아디다스,2024,12,1839,432,410,202,182,36,69,140,92,8,170,195,,0
개고기 미트볼,2024,4,530,413,1330,767,557,258,143,58,116,167,39,46,,0
두 수 앞,2024,4,16,15,55,26,16,11,8,0,0,0,12,0,,0
두들 댄스,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
제로 산소,2024,12,85,38,31,13,14,3,4,13,12,11,0,8,,0
마루는 강쥐,2024,11,105,217,136,130,161,170,105,149,101,106,67,189,,0
영역 전개,2024,4,12711,11461,30577,24481,12568,11134,7949,8808,5798,3876,4056,3885,,1
그럼 죽어,2024,2,2717,5561,3892,2941,1320,811,287,269,581,38,11,9,,0
봇이지 뭐,2024,8,2003,978,755,366,199,154,246,121,99,251,111,136,,0
괜찮아 딩딩딩딩딩,2024,7,9973,5177,2933,1326,480,309,198,77,58,58,21,49,,0
갈까말까,2024,2,4855,11720,5755,3587,2962,1368,102,197,114,18,19,9,,0
도파민,2024,8,11225,15083,4897,8787,5070,3566,4485,10144,14938,8191,4400,5600,,1
떳떳하면 가만히 있으면 된다,2024,7,537,401,1027,554,345,348,28,192,227,58,159,56,,0
억울한 남자,2024,6,864,267,166,97,59,22,50,84,51,111,123,175,,0
개저씨,2024,9,22712,50844,29438,10694,11716,7032,9266,23307,15714,5927,7477,5452,,1
즐거우시냐구요,2024,5,614,1416,626,548,515,251,135,123,73,36,60,59,,0
돈키호테 도플라밍고,2024,3,18,11,60,13,27,29,112,20,37,66,22,19,,0
도황,2024,3,19566,14123,12338,10134,7227,7996,7223,5523,4273,6199,6573,4668,,1
젤란아 와이파이 꺼라,2024,4,285,98,61,23,20,13,12,0,0,8,15,5,,0
젠장 00 난 네가 좋다,2024,4,13135,6851,24069,7275,4696,1837,300,100,133,118,93,75,,0
몽정규,2024,4,128,150,316,165,117,100,44,107,60,119,72,136,,0
축구의 시대,2024,9,58,74,105,53,76,31,51,35,39,50,62,48,,0
리 미제라블,2024,9,33,108,29,34,19,18,21,22,28,31,37,23,,0
사탄의 혈육,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
앱솔칼리버,2024,7,29,117,73,22,16,8,16,13,11,7,0,0,,0
쌀숭이,2024,6,50,30,27,21,20,19,40,52,26,25,42,28,,0
온 세상이 리선족,2024,6,38,62,84,32,39,26,13,8,3,0,6,9,,0
00창섭,2024,9,267,151,164,240,175,223,282,190,107,118,159,113,,0
대재학,2024,12,73,109,34,22,14,8,0,0,11,0,0,4,,0
00선족,2024,10,12,32,12,8,3,0,4,0,10,13,8,3,,0
메벤남,2024,4,144,127,128,81,102,84,90,226,62,62,107,110,,0
메숭이,2024,11,54,48,41,42,41,68,82,55,76,39,71,48,,0
이 또한 00의 은혜겠지요,2024,10,1382,1041,690,517,237,139,87,183,53,86,18,12,,0
"제발 생각을 해!! 생!! 각!! 왜 우리는 좌뇌, 우뇌, 전두엽!! 다 있는데!! 왜 생각을 못하는걸까??",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
KC 인증 00,2024,6,63,53,60,98,70,116,99,51,43,35,71,45,,0
00은 너무 어려워,2024,12,18,20,25,25,18,16,43,19,21,27,29,27,,0
00핑,2024,12,131,76,115,78,57,57,62,68,76,52,119,59,,0
