experiment_name,feature_set,horizon,n_samples,n_features,auroc,auprc,f1,accuracy,balanced_accuracy,precision,recall,threshold
text_only,E_L,,819,449,0.7253299811439347,0.4655913999786516,0.5436893203883495,0.6178861788617886,0.6574481458202388,0.42424242424242425,0.7567567567567568,0.3071497493086883
h1,E_L_F,1,819,487,0.8705216844751729,0.7405814969541344,0.6732673267326733,0.7317073170731707,0.7850408548082968,0.53125,0.918918918918919,0.2494810193049469
h3,E_L_F,3,788,487,0.9528112449799196,0.8877325090126257,0.7865168539325843,0.8403361344537815,0.8776773761713521,0.660377358490566,0.9722222222222222,0.2890317877519771
h6,E_L_F,6,767,487,0.9978094194961665,0.9944155368092317,0.9705882352941176,0.9827586206896551,0.9879518072289157,0.9428571428571428,1.0,0.06723474661097754
h12,E_L_F,12,730,487,1.0,0.9999999999999998,0.9122807017543859,0.9545454545454546,0.9193548387096775,1.0,0.8387096774193549,0.9999954146010192
