h3_freq_sum,h3_freq_mean,h3_freq_median,h3_freq_std,h3_freq_min,h3_freq_max,h3_freq_first,h3_freq_last,h3_active_month_count,h3_zero_month_count,h3_nonzero_month_count,h3_freq_slope,h3_freq_log_slope,h3_freq_first_to_last_diff,h3_freq_first_to_last_ratio,h3_freq_last_to_max_ratio,h3_freq_early_mean,h3_freq_late_mean,h3_freq_late_to_early_ratio,h3_peak_value,h3_peak_month,h3_time_to_peak,h3_post_peak_slope,h3_post_peak_log_slope,h3_post_peak_decay_rate,h3_peak_sharpness,h3_peak_count,h3_longest_active_streak,h3_current_active_streak,h3_retention_ratio,h3_late_activity_ratio,h3_revival_count,h3_has_revival,h3_freq_entropy,h3_freq_gini,h3_freq_cv,h3_freq_burstiness,h3_freq_autocorr_lag1
6793.0,2264.3333333333335,2091.0,969.6106893433513,1173.0,3529.0,1173.0,2091.0,3.0,0.0,3.0,688.4999896725002,0.4332778620984103,918.0,1.782608695636977,0.5925191272298314,1173.0,2810.0,2.39556692240072,3529.0,2.0,1.0,0.0,0.0,0.407480872767335,1.5585161195279322,1.0,3.0,3.0,0.5925191272298314,0.8273222434847235,0.0,0.0,1.006176811116398,0.23121841110870767,0.42821022641207235,-0.40035406763607406,-1.0
1484.0,494.6666666666667,417.0,198.40418902387677,300.0,767.0,300.0,417.0,3.0,0.0,3.0,87.74999868375002,0.24627837213773512,117.0,1.3899999999536665,0.5436766623136418,300.0,592.0,1.9733333332675556,767.0,2.0,1.0,0.0,0.0,0.4563233376733204,1.5505390835266062,1.0,3.0,3.0,0.5436766623136418,0.7978436657628178,0.0,0.0,1.021014572895985,0.2097933512993193,0.4010866354849041,-0.4274634767946391,-1.0
66781.0,22260.333333333332,23574.0,1998.0010566118883,19437.0,23770.0,23574.0,23770.0,3.0,0.0,3.0,146.99999779500004,0.0062096412595549055,196.0,1.008314244506232,0.9999999999995792,23574.0,21603.5,0.9164121489772985,23770.0,3.0,2.0,0.0,0.0,0.0,1.0678186909445495,0.0,3.0,3.0,0.9999999999995792,0.646995402883957,0.0,0.0,1.0944909301980994,0.0432558162750194,0.08975611580888235,-0.8352730220880943,-1.0
10294.0,3431.3333333333335,3253.0,976.1360333250461,2335.0,4706.0,2335.0,3253.0,3.0,0.0,3.0,688.4999896725002,0.24858370414439343,918.0,1.3931477516000295,0.6912452188680595,2335.0,3979.5,1.7042826552389538,4706.0,2.0,1.0,0.0,0.0,0.30875478112981564,1.3714785311792166,1.0,3.0,3.0,0.6912452188680595,0.7731688362145199,0.0,0.0,1.0583819878823464,0.1535522310726356,0.284477180878823,-0.5570537412184395,-1.0
10517.0,3505.6666666666665,3878.0,1602.1099282578027,1384.0,5255.0,1384.0,5255.0,3.0,0.0,3.0,2903.2499564512505,1.0002525911534672,3871.0,3.7969653178916407,0.9999999999980971,1384.0,4566.5,3.2994942196293393,5255.0,3.0,2.0,0.0,0.0,0.0,1.4990016164262652,0.0,3.0,3.0,0.9999999999980971,0.8684035371295346,0.0,0.0,0.9814336690256836,0.24538049507097126,0.4570057796671768,-0.37267815125208814,1.0
3360.0,1120.0,1028.0,174.26416728633572,968.0,1364.0,1028.0,1364.0,3.0,0.0,3.0,251.99999622000004,0.2119252256598797,336.0,1.3268482490143305,0.9999999999926688,1028.0,1166.0,1.1342412451251533,1364.0,3.0,2.0,0.0,0.0,0.0,1.2178571428462692,0.0,3.0,3.0,0.9999999999926688,0.6940476190455535,0.0,0.0,1.0868454540807218,0.07857142857002786,0.1555930065042677,-0.73071313925755,-1.0
15345.0,5115.0,6303.0,2262.570367229861,1948.0,7094.0,7094.0,1948.0,3.0,0.0,3.0,-3859.499942107501,-0.9690554030291058,-5146.0,0.2745982520435937,0.2745982520435937,7094.0,4125.5,0.5815477868613173,7094.0,1.0,0.0,-8709.999651600014,-2.347735770150877,0.4184522131372731,1.3869012707695272,0.0,3.0,3.0,0.2745982520435937,0.5376995764089034,0.0,0.0,0.9841730368744896,0.22356902356868558,0.4423402477469086,-0.3866353678490642,1.0
182.0,60.666666666666664,60.0,7.363574011458174,52.0,70.0,70.0,60.0,3.0,0.0,3.0,-7.499999887500001,-0.11385450794318545,-10.0,0.8571428570204083,0.8571428570204083,70.0,56.0,0.7999999998857144,70.0,1.0,0.0,15.999999360000025,0.2811638899958232,0.1999999999714286,1.1538461536559594,0.0,3.0,3.0,0.8571428570204083,0.615384615350803,0.0,0.0,1.091259357611702,0.06593406590843842,0.1213775935754571,-0.7835205655021726,-1.0
678.0,226.0,254.0,62.806581396113785,139.0,285.0,285.0,139.0,3.0,0.0,3.0,-109.49999835750002,-0.5357620331214809,-146.0,0.4877192982285011,0.4877192982285011,285.0,196.5,0.6894736841863343,285.0,1.0,0.0,-229.99999080000038,-1.199242197128556,0.31052631577857803,1.2610619468468556,0.0,3.0,3.0,0.4877192982285011,0.5796460176905657,0.0,0.0,1.0570024573693775,0.14355948868497115,0.277905227404136,-0.5650612870709032,1.0
92001.0,30667.0,26806.0,6181.615053258061,25805.0,39390.0,25805.0,26806.0,3.0,0.0,3.0,750.7499887387502,0.02854201788070891,1001.0,1.0387909319895219,0.6805280528051079,25805.0,33098.0,1.2826196473546667,39390.0,2.0,1.0,0.0,0.0,0.3194719471946384,1.2844425604065333,1.0,3.0,3.0,0.6805280528051079,0.7195139183268965,0.0,0.0,1.07906020911098,0.09844095897503169,0.201572212908209,-0.6644858948252482,-1.0
